Route (r),Time Block (t),Route type,"Old ridership (x_old,r,t)",Trip length km (L_r),"Average length hr (T_r,t)","Old frequency of buses (f_old,r,t)","Old number of buses (n_old,r,t) - continuous","Old number of buses (n_old,r,t) - discrete","Time block hr (H_block,t)",Driver horuly wage rate $/hr (W_driver),Price of fuel $/litre (P_fuel),Fuel consumption (FC),Maintenace cost $/km (P_maintenance),Passenger hourly wage rate $/hr (W_passenger),VTTS fraction of passenger wage (F_wage),"Emission intensity of a car kgCO2eq/KPT (I_GHG,car)",Average Length of passenger trip (L_avg_trip),Social cost of carbon $/tonne CO2eq (SCC)," Vehicle-miles saved per 1 km  of passenger km travelled (V_km,saved)",,
35,Evening,Local,166,23.6,0.437,1.978,0.864386,1,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,4.72,0.275,5.8,,
35,Night,Local,92,23.6,0.444,0.475,0.2109,1,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,4.72,0.275,5.8,,
37,Early AM,Cancelled ,1,,,,,,,,,,,,,,,,,,
37,AM Peak,Cancelled ,30,,,,,,,,,,,,,,,,,,
37,Midday,Cancelled ,27,,,,,,,,,,,,,,,,,,
37,PM Peak,Cancelled ,12,,,,,,,,,,,,,,,,,,
37,Evening,Cancelled ,5,,,,,,,,,,,,,,,,,,
37,Night,Cancelled ,0,,,,,,,,,,,,,,,,,,
38,Early AM,Local,48,16.9,0.484,0.571,0.276364,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,3.38,0.275,5.8,,
38,AM Peak,Local,238,16.9,0.53,3.12,1.6536,2,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,3.38,0.275,5.8,,
38,Midday,Local,382,16.9,0.548,2.567,1.406716,2,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,3.38,0.275,5.8,,
38,PM Peak,Local,311,16.9,0.587,2.6,1.5262,2,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,3.38,0.275,5.8,,
38,Evening,Local,105,16.9,0.568,2.022,1.148496,2,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,3.38,0.275,5.8,,
38,Night,Local,50,16.9,0.567,0.25,0.14175,1,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,3.38,0.275,5.8,,
39,Early AM,Frequent ,114,31.3,0.632,2.657,1.679224,2,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,6.26,0.275,5.8,,
39,AM Peak,Frequent ,499,31.3,0.518,6.84,3.54312,4,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,6.26,0.275,5.8,,
39,Midday,Frequent ,673,31.3,0.465,4.767,2.216655,3,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,6.26,0.275,5.8,,
